words@amorozov1986m		80.074	80.58	сделал
words@amorozov1986m		80.58	81.087	свою
words@amorozov1986m		81.087	81.594	группу
words@amorozov1986m		81.594	82.101	которая
words@amorozov1986m		82.101	82.608	называлась
words@amorozov1986m		82.608	83.115	"The
words@amorozov1986m		83.115	83.622	богатые
words@amorozov1986m		83.622	84.129	тоже
words@amorozov1986m		84.129	84.636	плачутs"
words@amorozov1986m		85.161	85.596	Потом
words@amorozov1986m		85.596	86.031	я
words@amorozov1986m		86.031	86.466	сделал
words@amorozov1986m		86.466	86.901	группу
words@amorozov1986m		86.901	87.336	"The
words@amorozov1986m		87.336	87.771	двоеs"
words@amorozov1986m		87.771	88.206	//
words@amorozov1986m		88.206	88.641	Потом
words@amorozov1986m		88.641	89.076	"The
words@amorozov1986m		89.076	89.511	богатые
words@amorozov1986m		89.511	89.946	тоже
words@amorozov1986m		89.946	90.381	плачут
words@amorozov1986m		90.381	90.816	переименовались
words@amorozov1986m		90.816	91.251	в
words@amorozov1986m		91.251	91.686	"ЦРУ"
words@amorozov1986m		91.686	92.121	А
words@amorozov1986m		92.121	92.556	потом
words@amorozov1986m		92.556	92.991	появилась
words@amorozov1986m		92.991	93.426	падла"
words@amorozov1986m		101.731	102.1	Ну
words@amorozov1986m		102.1	102.469	/
words@amorozov1986m		102.469	102.839	"The
words@amorozov1986m		102.839	103.208	богатые
words@amorozov1986m		103.208	103.577	тоже
words@amorozov1986m		103.577	103.947	плачутs"
words@amorozov1986m		103.947	104.316	это
words@amorozov1986m		104.316	104.685	исходя
words@amorozov1986m		104.685	105.055	из
words@amorozov1986m		105.055	105.424	названия
words@amorozov1986m		105.424	105.793	был
words@amorozov1986m		105.793	106.163	гараж
words@amorozov1986m		106.163	106.532	//
words@amorozov1986m		106.532	106.901	группа
words@amorozov1986m		106.901	107.271	начиналась
words@amorozov1986m		107.271	107.64	на
words@amorozov1986m		107.64	108.009	"The"
words@amorozov1986m		108.009	108.379	и
words@amorozov1986m		108.379	108.748	кончалась
words@amorozov1986m		108.748	109.117	на
words@amorozov1986m		109.117	109.487	"s"
words@amorozov1986m		109.487	109.856	//
words@amorozov1986m		109.856	110.225	Вот
words@amorozov1986m		110.225	110.595	//
words@amorozov1986m		110.595	110.964	Ну
words@amorozov1986m		110.964	111.333	мы
words@amorozov1986m		111.333	111.703	играли
words@amorozov1986m		111.703	112.072	в
words@amorozov1986m		112.072	112.441	начале
words@amorozov1986m		112.441	112.811	вдвоём
words@amorozov1986m		112.811	113.18	/
words@amorozov1986m		113.18	113.549	как
words@amorozov1986m		113.549	113.919	"White
words@amorozov1986m		113.919	114.288	stripes"
words@amorozov1986m		114.288	114.658	/
